,Data_ped,Data_env,Modo de envio,Nome do cliente,Cidade,ID do produto,Categoria,Subcategoria,Nome do produto,Vendas,ano,mes,dia
0,2017-11-08,2017-11-11,Second Class,Claire Gute,Henderson,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2017,November,8
1,2017-11-08,2017-11-11,Second Class,Claire Gute,Henderson,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,2017,November,8
2,2017-06-12,2017-06-16,Second Class,Darrin Van Huff,Los Angeles,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2017,June,12
3,2016-10-11,2016-10-18,Standard Class,Sean O'Donnell,Fort Lauderdale,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,2016,October,11
4,2016-10-11,2016-10-18,Standard Class,Sean O'Donnell,Fort Lauderdale,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368000000000002,2016,October,11
5,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Los Angeles,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,2015,June,9
6,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Los Angeles,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,2015,June,9
7,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Los Angeles,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.1519999999999,2015,June,9
8,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Los Angeles,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,2015,June,9
9,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Los Angeles,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,2015,June,9
10,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Los Angeles,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,2015,June,9
11,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Los Angeles,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,2015,June,9
12,2018-04-15,2018-04-20,Standard Class,Andrew Allen,Concord,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,2018,April,15
13,2017-12-05,2017-12-10,Standard Class,Irene Maddox,Seattle,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,2017,December,5
14,2016-11-22,2016-11-26,Standard Class,Harold Pawlan,Fort Worth,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,2016,November,22
15,2016-11-22,2016-11-26,Standard Class,Harold Pawlan,Fort Worth,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,2016,November,22
16,2015-11-11,2015-11-18,Standard Class,Pete Kriz,Madison,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,2015,November,11
17,2015-05-13,2015-05-15,Second Class,Alejandro Grove,West Jordan,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2015,May,13
18,2015-08-27,2015-09-01,Second Class,Zuschuss Donatelli,San Francisco,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2015,August,27
19,2015-08-27,2015-09-01,Second Class,Zuschuss Donatelli,San Francisco,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,2015,August,27
20,2015-08-27,2015-09-01,Second Class,Zuschuss Donatelli,San Francisco,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,2015,August,27
21,2017-12-09,2017-12-13,Standard Class,Ken Black,Fremont,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,2017,December,9
22,2017-12-09,2017-12-13,Standard Class,Ken Black,Fremont,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,2017,December,9
23,2018-07-16,2018-07-18,Second Class,Sandra Flanagan,Philadelphia,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2018,July,16
24,2016-09-25,2016-09-30,Standard Class,Emily Burns,Orem,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,2016,September,25
25,2017-01-16,2017-01-20,Second Class,Eric Hoffmann,Los Angeles,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2017,January,16
26,2017-01-16,2017-01-20,Second Class,Eric Hoffmann,Los Angeles,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,2017,January,16
27,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Philadelphia,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,2016,September,17
28,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Philadelphia,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2016,September,17
29,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Philadelphia,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,2016,September,17
30,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Philadelphia,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2016,September,17
31,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Philadelphia,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,2016,September,17
32,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Philadelphia,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,2016,September,17
33,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Philadelphia,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2016,September,17
34,2018-10-19,2018-10-23,Second Class,Matt Abelman,Houston,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.471999999999998,2018,October,19
35,2017-12-08,2017-12-10,First Class,Gene Hale,Richardson,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.5439999999999,2017,December,8
36,2017-12-08,2017-12-10,First Class,Gene Hale,Richardson,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,2017,December,8
37,2016-12-27,2016-12-31,Standard Class,Steve Nguyen,Houston,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.32799999999999,2016,December,27
38,2016-12-27,2016-12-31,Standard Class,Steve Nguyen,Houston,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,2016,December,27
39,2016-12-27,2016-12-31,Standard Class,Steve Nguyen,Houston,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,2016,December,27
40,2016-12-27,2016-12-31,Standard Class,Steve Nguyen,Houston,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,2016,December,27
41,2018-09-10,2018-09-15,Standard Class,Linda Cazamias,Naperville,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,2018,September,10
42,2017-07-17,2017-07-22,Standard Class,Ruben Ausman,Los Angeles,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2017,July,17
43,2018-09-19,2018-09-23,Standard Class,Erin Smith,Melbourne,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2018,September,19
44,2017-03-11,2017-03-13,First Class,Odella Nelson,Eagan,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2017,March,11
45,2017-03-11,2017-03-13,First Class,Odella Nelson,Eagan,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2017,March,11
46,2015-10-20,2015-10-25,Second Class,Patrick O'Donnell,Westland,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,2015,October,20
47,2017-06-20,2017-06-25,Standard Class,Lena Hernandez,Dover,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,2017,June,20
48,2017-06-20,2017-06-25,Standard Class,Lena Hernandez,Dover,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2017,June,20
49,2016-04-18,2016-04-22,Standard Class,Darren Powers,New Albany,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,2016,April,18
50,2016-04-18,2016-04-22,Standard Class,Darren Powers,New Albany,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,2016,April,18
51,2016-04-18,2016-04-22,Standard Class,Darren Powers,New Albany,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2016,April,18
52,2016-04-18,2016-04-22,Standard Class,Darren Powers,New Albany,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,2016,April,18
